Table: Green area per capita ,,,,,,,,,,,,,,,,
Variable,,Green area per capita (square meters per capita) ,,,,,,,,,,,,,,
Year,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
  Toulouse,,218.31,218.31,218.31,218.31,218.3,218.31,218.3,218.31,218.31,218.3,218.31,218.31,218.3,218.31,218.31
  Strasbourg,,274.12,274.12,274.12,274.12,274.12,274.12,274.12,274.12,274.12,274.12,274.12,274.12,274.12,274.12,274.12
  Bordeaux,,1479.64,1479.64,1479.64,1479.64,1479.64,1479.64,1479.65,1479.64,1479.64,1479.64,1479.64,1479.64,1479.64,1479.64,1479.64
  Nantes,,515.61,515.61,515.61,515.61,515.61,515.61,515.61,515.61,515.61,515.61,515.61,515.61,515.61,515.61,515.61
  Lille,,55.39,55.38,55.38,55.38,55.38,55.38,55.38,55.38,55.39,55.38,55.38,55.38,55.39,55.39,55.38
  Montpellier,,129.01,129.01,129.01,129.01,129.01,129.01,129.01,129.01,129.01,129.01,129.01,129.01,129.01,129.01,129.01
  Saint-Étienne,,580.65,580.65,580.65,580.65,580.65,580.65,580.65,580.65,580.65,580.65,580.65,580.65,580.65,580.65,580.65
  Rennes,,339.59,339.59,339.59,339.59,339.59,339.59,339.59,339.59,339.59,339.59,339.59,339.59,339.59,339.59,339.59
  Grenoble,,717.17,717.18,717.17,717.18,717.18,717.18,717.17,717.17,717.17,717.17,717.17,717.18,717.18,717.17,717.18
  Toulon,,7.51,7.51,7.51,7.51,7.51,7.52,7.52,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51
  Nice,,195.55,195.55,195.55,195.55,195.55,195.55,195.56,195.55,195.55,195.55,195.55,195.55,195.56,195.56,195.55
  Rouen,,468.6,468.6,468.6,468.6,468.6,468.6,468.6,468.6,468.6,468.6,468.6,468.6,468.6,468.6,468.6
Greece,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Athens,,3.43,3.45,3.44,3.42,3.45,3.44,3.42,3.45,3.44,3.43,3.42,3.45,3.44,3.43,3.43
  Thessalonica,,40.14,40.14,40.14,40.15,40.14,40.14,40.14,40.14,40.14,40.14,40.14,40.14,40.14,40.14,40.14
Hungary,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Budapest,,1187.07,1187.07,1187.07,1187.07,1187.07,1187.07,1187.05,1187.05,1187.07,1187.06,1187.06,1187.07,1187.06,1187.07,1187.06
Ireland,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Dublin,,35.84,35.84,35.85,35.85,35.85,35.85,35.85,35.85,35.84,35.85,35.84,35.85,35.85,35.85,35.84
Italy,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Rome,,932.7,932.68,932.7,932.71,932.71,932.7,932.69,932.71,932.68,932.69,932.68,932.68,932.7,932.68,932.69
  Milan,,93.16,93.16,93.17,93.18,93.16,93.14,93.17,93.17,93.17,93.18,93.15,93.17,93.15,93.14,93.18
  Naples,,46.14,46.14,46.14,46.14,46.14,46.14,46.15,46.16,46.14,46.16,46.15,46.14,46.17,46.16,46.16
  Turin,,423.74,423.74,423.74,423.73,423.73,423.73,423.74,423.74,423.73,423.74,423.74,423.74,423.73,423.74,423.73
  Palermo,,41.86,41.86,41.86,41.85,41.86,41.86,41.86,41.85,41.86,41.85,41.85,41.86,41.86,41.86,41.86
  Genova,,238.27,238.27,238.27,238.27,238.27,238.27,238.27,238.27,238.27,238.27,238.27,238.27,238.27,238.27,238.27
  Florence,,366.64,366.64,366.64,366.64,366.64,366.64,366.64,366.64,366.64,366.64,366.64,366.63,366.64,366.64,366.64
  Bari,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
  Bologna,,140.39,140.38,140.38,140.39,140.38,140.39,140.38,140.38,140.39,140.39,140.38,140.39,140.38,140.39,140.39
  Catania,,22.11,22.11,22.11,22.11,22.11,22.11,22.11,22.11,22.11,22.11,22.11,22.11,22.11,22.11,22.11
  Venice,,0.64,0.64,0.64,0.64,0.64,0.65,0.65,0.64,0.64,0.64,0.64,0.65,0.64,0.64,0.64
Japan,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Sendai,,39.07,39.08,39.07,39.07,39.06,39.08,39.07,39.07,39.07,39.07,39.07,39.07,39.06,39.08,39.07
  Sapporo,,369.85,369.85,369.86,369.87,369.86,369.85,369.86,369.86,369.86,369.86,369.85,369.85,369.86,369.87,369.86
  Tokyo,,163.65,163.93,163.9,163.86,163.84,163.81,163.92,163.69,163.79,163.9,163.66,163.7,163.74,163.78,163.82
  Nagoya,,48.49,48.49,48.49,48.49,48.49,48.49,48.51,48.53,48.5,48.52,48.49,48.54,48.52,48.51,48.49
  Osaka,,189.07,189.1,189.13,189.17,189.06,189.12,189.12,189.13,189.15,189.18,189.04,189.11,189.2,189.12,189.05
  Fukuoka,,16.74,16.75,16.74,16.75,16.75,16.74,16.75,16.74,16.75,16.74,16.73,16.75,16.75,16.75,16.74
  Niigata,,169.58,169.58,169.58,169.58,169.58,169.58,169.58,169.58,169.59,169.58,169.58,169.58,169.58,169.58,169.58
  Toyama,,180.1,180.1,180.1,180.1,180.1,180.1,180.1,180.1,180.1,180.1,180.1,180.1,180.1,180.1,180.1
  Nagano,,136.09,136.1,136.1,136.09,136.09,136.1,136.1,136.09,136.09,136.09,136.1,136.09,136.09,136.1,136.1
  Kanazawa,,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45
  Utsunomiya,,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34
  Maebashi,,37.78,37.78,37.78,37.78,37.78,37.78,37.78,37.78,37.78,37.78,37.78,37.78,37.78,37.78,37.78
  Mito,,41.21,41.21,41.22,41.22,41.21,41.21,41.22,41.21,41.21,41.22,41.22,41.22,41.21,41.21,41.21
  Kofu,,19.11,19.11,19.1,19.1,19.1,19.11,19.11,19.11,19.11,19.11,19.1,19.1,19.11,19.1,19.11
  Numazu,,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96
  Shizuoka,,9.44,9.44,9.44,9.44,9.45,9.45,9.45,9.44,9.44,9.44,9.45,9.44,9.45,9.44,9.45
  Anjo,,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.65,0.64,0.64,0.65,0.64,0.64,0.64,0.64
  Yokkaichi,,15.45,15.46,15.46,15.45,15.46,15.45,15.45,15.46,15.46,15.46,15.45,15.45,15.45,15.45,15.45
  Himeji,,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89
  Toyohashi,,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89
  Hamamatsu,,20.82,20.82,20.82,20.83,20.82,20.82,20.83,20.82,20.82,20.83,20.82,20.82,20.82,20.82,20.82
  Okayama,,74.7,74.7,74.7,74.7,74.7,74.7,74.7,74.7,74.7,74.7,74.7,74.7,74.71,74.7,74.7
  Kurashiki,,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02
  Fukuyama,,18.68,18.68,18.67,18.67,18.68,18.68,18.68,18.68,18.67,18.67,18.68,18.68,18.67,18.68,18.68
  Hiroshima,,16.32,16.32,16.31,16.32,16.31,16.32,16.32,16.32,16.32,16.32,16.31,16.32,16.31,16.32,16.31
  Takamatsu,,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09
  Wakayama,,20.6,20.61,20.61,20.61,20.61,20.61,20.61,20.61,20.61,20.61,20.61,20.61,20.61,20.61,20.61
  Tokushima,,14.81,14.81,14.81,14.81,14.81,14.81,14.81,14.81,14.81,14.81,14.81,14.81,14.81,14.81,14.81
  Kitakyushu,,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.03,12.02,12.02
  Matsuyama,,34.35,34.34,34.35,34.35,34.34,34.35,34.35,34.35,34.34,34.35,34.35,34.35,34.35,34.35,34.35
  Kochi,,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02
  Oita,,33.48,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.48,33.49,33.49,33.49,33.49,33.49
  Kumamoto,,23.18,23.18,23.19,23.18,23.18,23.19,23.18,23.18,23.19,23.18,23.19,23.18,23.18,23.19,23.19
  Nagasaki,,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94
  Kagoshima,,8.59,8.59,8.59,8.58,8.58,8.59,8.59,8.59,8.58,8.59,8.59,8.59,8.58,8.59,8.59
  Naha,,107.12,107.12,107.11,107.11,107.11,107.12,107.11,107.11,107.12,107.11,107.11,107.11,107.11,107.12,107.11
Korea,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Seoul Incheon,,133.24,133.23,133.37,133.26,133.33,133.38,133.2,133.23,133.26,133.3,133.37,133.26,133.19,133.41,133.23
  Daegu,,88.43,88.44,88.44,88.44,88.44,88.44,88.43,88.43,88.44,88.43,88.44,88.45,88.45,88.43,88.43
  Busan,,31.34,31.33,31.34,31.33,31.34,31.33,31.34,31.34,31.33,31.33,31.33,31.33,31.35,31.33,31.34
  Cheongju,,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76
  Daejeon,,49.8,49.81,49.81,49.8,49.8,49.8,49.8,49.8,49.79,49.8,49.8,49.81,49.79,49.81,49.8
  Pohang,,52.38,52.38,52.38,52.38,52.38,52.38,52.37,52.38,52.37,52.38,52.38,52.38,52.38,52.38,52.38
  Jeonju,,30.05,30.05,30.05,30.05,30.05,30.06,30.05,30.05,30.06,30.05,30.05,30.05,30.05,30.05,30.05
  Ulsan,,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46
  Changwon,,1.28,1.29,1.29,1.29,1.29,1.29,1.28,1.29,1.28,1.29,1.29,1.29,1.29,1.29,1.29
  Gwangju,,65.26,65.26,65.25,65.26,65.25,65.25,65.25,65.25,65.26,65.26,65.26,65.26,65.26,65.26,65.26
Mexico,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Mexicali,,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94
  Tijuana,,1.93,1.93,1.93,1.93,1.94,1.93,1.93,1.92,1.93,1.93,1.93,1.94,1.92,1.92,1.94
  Hermosillo,,22.97,22.97,22.97,22.97,22.97,22.97,22.97,22.97,22.97,22.97,22.97,22.97,22.97,22.97,22.97
  Chihuahua,,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93
  Reynosa,,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48
  Monterrey,,200.91,200.92,200.93,200.93,200.91,200.94,200.94,200.92,200.9,200.93,200.92,200.93,200.92,200.93,200.9
  Torreón,,70.84,70.84,70.84,70.84,70.84,70.84,70.83,70.84,70.84,70.84,70.84,70.84,70.84,70.84,70.84
  Saltillo,,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
  Culiacán,,561.76,561.76,561.76,561.76,561.76,561.76,561.76,561.76,561.76,561.76,561.76,561.76,561.76,561.76,561.76
  Durango,,127.72,127.72,127.72,127.72,127.72,127.72,127.72,127.72,127.72,127.72,127.72,127.72,127.72,127.72,127.72
  Tampico,,321.99,321.99,321.99,321.99,321.99,321.99,321.99,321.99,321.99,321.99,321.99,321.99,321.99,321.99,321.99
  San Luis Potosí,,37.35,37.35,37.35,37.34,37.35,37.35,37.35,37.35,37.35,37.34,37.35,37.36,37.35,37.34,37.35
  Aguascalientes,,214.44,214.44,214.44,214.44,214.44,214.44,214.44,214.44,214.44,214.44,214.44,214.44,214.44,214.44,214.44
  Benito Juárez,,131.59,131.59,131.59,131.59,131.59,131.59,131.59,131.59,131.59,131.59,131.59,131.59,131.59,131.59,131.59
  León,,200.92,200.92,200.92,200.91,200.93,200.91,200.92,200.91,200.92,200.92,200.91,200.91,200.93,200.92,200.93
  Mérida,,1321.22,1321.22,1321.23,1321.22,1321.22,1321.22,1321.22,1321.22,1321.22,1321.23,1321.21,1321.22,1321.22,1321.21,1321.22
  Guadalajara,,534.95,534.93,534.92,534.92,534.94,534.94,534.94,534.93,534.92,534.95,534.95,534.95,534.95,534.94,534.91
  Irapuato,,116.77,116.77,116.77,116.77,116.77,116.77,116.77,116.77,116.77,116.77,116.77,116.77,116.77,116.77,116.77
  Querétaro,,383.6,383.6,383.6,383.6,383.6,383.6,383.6,383.6,383.6,383.6,383.6,383.6,383.6,383.59,383.61
  Celaya,,181.39,181.39,181.39,181.39,181.39,181.39,181.39,181.39,181.39,181.39,181.39,181.39,181.39,181.39,181.39
  Pachuca de Soto,,137.81,137.81,137.81,137.81,137.81,137.81,137.81,137.81,137.81,137.81,137.81,137.81,137.81,137.81,137.81
  Morelia,,173.87,173.87,173.87,173.87,173.87,173.87,173.87,173.87,173.87,173.87,173.87,173.87,173.87,173.87,173.87
  Mexico City,,538.22,538.2,538.13,538.18,538.17,538.12,538.19,538.22,538.2,538.13,538.2,538.24,538.22,538.16,538.06
  Xalapa,,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4
  Toluca,,427.18,427.18,427.17,427.17,427.16,427.17,427.17,427.17,427.17,427.17,427.17,427.17,427.17,427.18,427.17
  Veracruz,,437.05,437.05,437.05,437.05,437.05,437.05,437.05,437.05,437.05,437.05,437.05,437.05,437.05,437.05,437.05
  Puebla,,253.93,253.93,253.94,253.93,253.94,253.95,253.95,253.94,253.93,253.94,253.94,253.94,253.93,253.93,253.93
  Cuernavaca,,166.36,166.36,166.36,166.36,166.36,166.36,166.36,166.36,166.36,166.36,166.36,166.36,166.36,166.36,166.36
  Centro,,552.1,552.1,552.1,552.1,552.1,552.1,552.1,552.1,552.1,552.1,552.1,552.1,552.1,552.1,552.1
  Oaxaca de Juárez,,193.19,193.19,193.19,193.19,193.19,193.19,193.19,193.19,193.19,193.19,193.19,193.19,193.19,193.19,193.19
  Acapulco de Juárez,,572.92,572.92,572.92,572.92,572.92,572.92,572.92,572.92,572.92,572.92,572.92,572.92,572.92,572.92,572.92
  Tuxtla Gutiérrez,,840.82,840.82,840.82,840.82,840.82,840.82,840.82,840.82,840.82,840.82,840.82,840.82,840.82,840.82,840.82
The Netherlands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Amsterdam,,508.1,508.1,508.09,508.1,508.09,508.11,508.1,508.1,508.1,508.09,508.1,508.1,508.11,508.11,508.09
  The Hague,,18.67,18.67,18.67,18.67,18.67,18.67,18.67,18.68,18.68,18.67,18.68,18.68,18.67,18.68,18.67
  Rotterdam,,106.69,106.69,106.69,106.68,106.69,106.69,106.68,106.69,106.68,106.68,106.69,106.68,106.68,106.69,106.68
  Utrecht,,168.08,168.08,168.07,168.08,168.08,168.08,168.08,168.08,168.08,168.08,168.08,168.08,168.08,168.08,168.08
  Eindhoven,,579.15,579.15,579.15,579.15,579.15,579.15,579.15,579.15,579.15,579.15,579.15,579.15,579.15,579.15,579.15
Norway,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Oslo,,376.51,376.51,376.51,376.51,376.51,376.52,376.51,376.51,376.51,376.51,376.52,376.51,376.51,376.51,376.51
Poland,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
